attempt_count,hint_count,type,first_action,Average_confidence(CONFUSED),tot_seconde_diff,cognitive_score
1,0,1,0,0.0,18.0,2
1,0,1,0,0.0,7.0,3
1,0,2,0,0.0,12.0,3
1,0,1,0,0.978947,9.0,3
1,0,2,0,0.0,6.0,3
1,0,2,0,0.0,9.0,3
1,0,2,0,0.0,38.0,3
1,0,1,0,0.0,25.0,3
1,0,2,0,0.0,3.0,3
1,0,1,0,0.0,10.0,3
3,4,2,1,0.2704628571428571,45.0,1
3,0,2,0,0.0,17.0,2
1,0,1,0,0.0,65.0,1
4,1,2,0,0.0,873666.0,2
1,0,1,0,0.0,14.0,2
1,0,2,0,0.0,24.0,3
1,0,2,0,0.0,5.0,3
1,0,2,0,0.0,18.0,3
1,0,2,0,0.0,7.0,3
1,0,2,0,0.0,20.0,3
1,0,2,0,0.0,4.0,3
1,0,2,0,0.0,16.0,3
1,0,2,0,0.0,8.0,3
1,0,1,0,0.0,184.0,3
2,0,2,0,0.0,18.0,2
1,0,2,0,0.96875,17.0,3
1,0,1,0,0.0,33.0,3
1,0,2,0,0.0,17.0,3
2,0,2,0,0.0,9.0,2
1,0,1,0,0.0,17.0,3
2,0,2,0,0.0,27.0,2
1,0,2,0,0.978947,13.0,3
1,0,2,0,0.0,22.0,3
1,0,2,0,0.0,15.0,3
1,0,2,0,0.939394,8.0,3
3,3,2,0,0.469697,39.0,2
1,0,1,0,0.0,102.0,3
1,0,1,0,0.0,15.0,2
3,2,2,0,0.19375,61.0,2
1,0,1,0,0.0,11.0,2
1,0,2,0,0.0,13.0,3
1,0,1,0,0.0,26.0,3
1,0,1,0,0.0,128.0,3
1,0,2,0,0.0,10.0,3
1,0,2,0,0.0,52.0,3
1,0,2,0,0.939394,19.0,3
1,0,1,0,0.0,15.0,3
1,0,1,0,0.0,6.0,3
1,0,1,0,0.0,77.0,3
2,0,1,0,0.0,66.0,2
1,0,3,0,0.0,254.0,3
2,0,2,0,0.0,36.0,2
1,0,1,0,0.0,28.0,2
1,0,1,0,0.0,14.0,3
1,0,1,0,0.0,29.0,3
1,0,2,0,0.0,29.0,3
2,0,2,0,0.4558825,11.0,2
1,0,1,0,0.0,27.0,3
1,0,3,0,0.0,145.0,3
3,1,1,0,0.0,38.0,2
2,0,2,0,0.0,10.0,2
1,0,2,0,0.0,14.0,3
2,3,2,0,0.0,50.0,2
1,0,1,0,0.0,5.0,2
1,0,1,0,0.0,5.0,3
2,0,1,0,0.0,22.0,2
1,0,1,0,0.0,9.0,3
4,0,1,0,0.24473675,16.0,2
2,0,1,0,0.0,28.0,1
1,0,1,0,0.0,16.0,3
1,0,2,0,0.0,91.0,3
2,0,2,0,0.0,30.0,2
1,0,3,0,0.0,15.0,3
1,0,2,0,0.0,11.0,3
3,0,2,0,0.0,132.0,2
2,0,1,0,0.0,170.0,1
5,1,1,0,0.0,264.0,2
2,1,1,0,0.0,161.0,2
2,0,2,0,0.0,49.0,2
3,0,2,0,0.0,170.0,2
2,0,2,0,0.0,20.0,2
1,0,3,0,0.0,10.0,3
1,0,2,0,0.0,25.0,3
1,0,3,0,1.0,9.0,3
1,0,1,0,0.0,23.0,3
1,0,1,0,0.0,8.0,3
3,0,2,0,0.0,40.0,2
1,0,2,0,0.0,19.0,3
1,0,1,0,0.0,4.0,3
1,0,1,0,0.0,117.0,3
1,0,1,0,0.0,84.0,3
1,0,1,0,0.0,55.0,3
1,0,1,0,0.0,20.0,3
1,0,1,0,0.0,30.0,3
3,0,2,0,0.0,11.0,2
2,0,1,0,0.0,28.0,2
3,0,1,0,0.0,15.0,2
1,0,1,0,0.0,142.0,2
1,0,1,0,0.0,8.0,2
1,0,2,0,0.0,31.0,3
1,0,2,0,0.0,76.0,3
1,0,2,0,0.0,70.0,3
2,3,1,0,0.0,48.0,2
3,0,2,0,0.0,59.0,2
4,0,1,0,0.0,72.0,2
6,4,2,0,0.0,345451.0,2
4,1,2,0,0.0,69.0,2
3,1,1,0,0.0,43.0,2
3,1,1,0,0.0,35.0,2
3,3,2,0,0.1631578333333333,57.0,2
1,0,1,0,0.0,3.0,3
1,0,2,0,0.0,262.0,3
2,0,2,0,0.0,329042.0,2
3,2,2,0,0.0,29.0,2
2,0,2,0,0.0,25.0,2
1,0,1,0,0.0,13.0,3
4,0,2,0,0.0,28.0,2
4,3,2,0,0.0,61415.0,2
1,0,1,0,0.0,50.0,3
2,0,2,0,0.0,24.0,2
1,0,2,0,0.0,104.0,3
1,0,1,0,0.0,70.0,3
1,0,2,0,0.939394,36.0,3
2,0,2,0,0.0,421.0,2
1,0,2,0,0.0,28.0,3
2,3,2,0,0.0,35.0,2
1,0,2,0,0.939394,22.0,3
3,3,2,0,0.0,77.0,2
3,3,2,0,0.4837446666666666,59.0,2
1,0,1,0,0.925373,26.0,1
